company_name,trade,ownership_type,ownership_confidence,parent_company_or_notes,city,county,zip,address,phone,website,google_rating,google_reviews,maps_services,license_types,license_type_labels,license_numbers,active_license_count,qualifying_agents_or_licensees,latest_expiration_seen,enrichment_source,data_source
COOLING BROTHERS LLC,Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fort Myers,Lee,33905,"3712 Trent St, Fort Myers, FL, 33905",,,,,,CMC,Certified Mechanical Contractor,CMC1251338,1,"BROWN, AARON",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
JANSSEN BROTHERS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Cape Coral,Lee,33909,"1020 Ne 32Nd Lane, Cape Coral, FL, 33909",,,,,,CFC,Certified Plumbing Contractor,CFC057615,1,"JANSSEN, CHRISTOPHER SCOTT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
MABRY BROTHERS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fort Myers,Lee,33912,"5731 Halifax Avenue, Fort Myers, FL, 33912",,,,,,CAC,Certified Air Conditioning Contractor,CAC057681; CAC1823913,2,"CELIA, JAMES PATRICK; MABRY, MICHAEL WAYNE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"YOUNGQUIST BROTHERS, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fort Myers,Lee,33908,"15465 Pine Ridge Rd, Fort Myers, FL, 33908",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819495,1,"YOUNGQUIST, HARVEY BRUCE JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
CARLTON AND SONS LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Tallahassee,Leon,32310-5772,"1622 Levy Avenue, Tallahassee, FL, 32310-5772",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818028,1,"TINSON, CARLTON T",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
JIM MORRIS AND SON'S AIR CONDITIONING HEATING AND REFRIGERATION,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Tallahassee,Leon,32316,"Po Box 2294, Tallahassee, FL, 32316",,,,,,CAC,Certified Air Conditioning Contractor,CAC1814782,1,"MORRIS, JAMES ROY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
KELLY BROTHERS SHEET METAL INC,Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Tallahassee,Leon,32312,"1428 Ox Bottom Road, Tallahassee, FL, 32312",,,,,,CMC,Certified Mechanical Contractor,CMC1249631,1,"KELLY, RONALD REUBEN JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"PAUL & SON PLUMBING, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Tallahassee,Leon,32317,"P. O. Box 16342, Tallahassee, FL, 32317",,,,,,CFC,Certified Plumbing Contractor,CFC057877,1,"OSTERBYE, PAUL DANIEL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"MEEKS & SONS PLUMBING SERVICE, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Chiefland,Levy,32626,"5391 Nw 140 St, Chiefland, FL, 32626",,,,,,CFC,Certified Plumbing Contractor,CFC1426566,1,"MEEKS, RUSSELL S",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
LESTER D PLAIN & SON LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Madison,Madison,32340,"2577 Ne State Road 6, Madison, FL, 32340",,,,,,CFC,Certified Plumbing Contractor,CFC1428693,1,"PLAIN, DANIEL LEE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"JIM MCDONALD & SONS HEATING AND COOLING, INC.",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Parrish,Manatee,34219,"12911 50Th Ct E, Parrish, FL, 34219",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1821957; CFC1431911,2,"DONALDSON, JEREMY JOSEPH",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
LIBERTY BROTHERS HEATING & AIR LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Parrish,Manatee,34219,"7806 Gilchrist Springs Dr, Parrish, FL, 34219",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819083,1,"SMITH, IAN CHARLES JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
MARTINEZ AND SONS HEATING & COOLING LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Bradenton,Manatee,34208,"1908 26Th Ave E., Bradenton, FL, 34208",,,,,,CAC,Certified Air Conditioning Contractor,CAC1822404,1,"DIAZ, ARMANDO ANDRES",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"PICARD & SONS PLUMBING, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Bradenton,Manatee,34209,"8403 14Th Ave Nw, Bradenton, FL, 34209",(941) 773-1039,picardandsonsplumbing.com/contact/4473272,4.6,25,Plumber,CFC,Certified Plumbing Contractor,CFC1429324,1,"PICARD, JONATHAN ROGER",08/31/2028,data/companies.json (Google Maps scrape),FL DBPR Construction License Extract (Current + Active)
WALTER JAMES & SON PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Palmetto,Manatee,34221,"1180 8Th Avenue West #420, Palmetto, FL, 34221",,,,,,CFC,Certified Plumbing Contractor,CFC1427816,1,"SHAMPINE, ROBERT R",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
AIR BROTHERS MECHANICAL LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Ocala,Marion,34473,"15460 Southwest 34Th Court Road, Ocala, FL, 34473",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823749,1,"AMOROSO, GIANCARLO G",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
JOHNSON BROTHERS PLUMBING INC.,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Ocala,Marion,34480,"5121 Se 38Th Street, Ocala, FL, 34480",,,,,,CFC,Certified Plumbing Contractor,CFC1431381; CFC1431382,2,"JOHNSON, AARON MD; JOHNSON, MARC",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
KILBURY & SON'S INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Citra,Marion,32113,"755 Ne 168 St, Citra, FL, 32113",,,,,,CAC,Certified Air Conditioning Contractor,CAC027340,1,"KILBURY, RICHARD A",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"MILLER AND SONS PLUMBING, INCORPORATED",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Ocala,Marion,34474,"3700 Sw 7Th Street, Ocala, FL, 34474",,,,,,CFC,Certified Plumbing Contractor,CFC1429711,1,"MILLER, CLINTON J",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
KELLETT & SONS PLUMBING INC.,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Jensen Beach,Martin,34958,"Po Box 455, Jensen Beach, FL, 34958",,,,,,CFC,Certified Plumbing Contractor,CFC1429208,1,"KELLETT, JESSE RAYMOND",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
A&G BROTHERS PLUMB AND CONSTRUCTION LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33135,"641 Sw 36 Ct, Miami, FL, 33135",,,,,,CFC,Certified Plumbing Contractor,CFC1433348,1,"RODRIGUEZ, JOSE JASSIR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ALBERTO AND SON,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33144-3539,"8319 Grand Canal Drive, Miami, FL, 33144-3539",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819463,1,"HERNANDEZ, CESAR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BEST BROTHERS SERVICES & REPAIRS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami Gardens,Miami-Dade,33055,"20164 Nw 38Th Ave, Miami Gardens, FL, 33055",,,,,,CFC,Certified Plumbing Contractor,CFC1434418,1,"NODA OLIVA, MANUEL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BROTHERS BACKFLOW SPECIALISTS, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33155,"3824 Sw 79Th Avenue Unit # 116, Miami, FL, 33155",,,,,,CFC,Certified Plumbing Contractor,CFC1429905,1,"SANTANA, PEDRO M",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DEL RIO & SON PLUMBING CORP,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33155,"8567 Coral Way # 437, Miami, FL, 33155",,,,,,CFC,Certified Plumbing Contractor,CFC1427828,1,"DEL RIO, EDELBERTO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
GONZALEZ & SONS EQUIPMENT INC,Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hialeah,Miami-Dade,33018,"7555 W 35Th Avenue, Hialeah, FL, 33018",,,,,,CMC,Certified Mechanical Contractor,CMC057146,1,"CASTANEDA, JULIO C",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
HABER & SONS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33142,"4106 Nw 37Th Ave, Miami, FL, 33142",,,,,,CFC,Certified Plumbing Contractor,CFC057165,1,"HABER, JOSE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"JO BROTHERS CONSTRUCTION & RESTORATION, INC",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33147,"1775 Nw 76Th Terrace, Miami, FL, 33147",,,,,,"CFC, CMC",Certified Mechanical Contractor; Certified Plumbing Contractor,CFC1431163; CMC1251547,2,"ORTEZ, JAIME ANTONIO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
MORALES AND SON INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami Gardens,Miami-Dade,33054,"3400   Nw 151St Terrace, Miami Gardens, FL, 33054",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818787,1,"MORALES, ANTONIO",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
NEL & SONS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33186,"13275 Sw 136Th St Bay 10, Miami, FL, 33186",,,,,,CAC,Certified Air Conditioning Contractor,CAC057645; CAC058224,2,"ANGULO, LAZARUS ANTHONY; ANGULO, NELSON",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
OMAR & SON SERVICES INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Opa-Locka,Miami-Dade,33054,"13073 Nw 42Nd Ave, Opa-Locka, FL, 33054",,,,,,CAC,Certified Air Conditioning Contractor,CAC058553,1,"GOMEZ, OMAR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"RIOL BROTHERS PLUMBING, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33170,"23061 Sw 124Th Ct, Miami, FL, 33170",,,,,,CFC,Certified Plumbing Contractor,CFC1431309,1,"CRUZ SALAZAR, REINILDER",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
TWIN BROTHERS PLUMBING CONTRACTORS CORP,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33145,"1901 Sw 36 Court, Miami, FL, 33145",,,,,,CFC,Certified Plumbing Contractor,CFC1429174,1,"DIAZ, DAVID",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WILLIAMS AND SON AIR CONDITIONING CORP,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Miami,Miami-Dade,33170,"23005 Sw 123Rd Ct, Miami, FL, 33170",,,,,,CAC,Certified Air Conditioning Contractor,CAC1816926,1,"CASTILLO, CARLOS A",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BARRY BROTHERS MECHANICAL LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Callahan,Nassau,32011,"44866  Artesian Blvd, Callahan, FL, 32011",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821725,1,"BARRY, MICHAEL STEPHEN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BUSH AND SON HEAT & AIR, INC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Shalimar,Okaloosa,32579,"86  Catamaran Ln, Shalimar, FL, 32579",,,,,,CAC,Certified Air Conditioning Contractor,CAC1817464,1,"BUSH, MARK",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
BROTHERS AIR,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Okeechobee,Okeechobee,34972,"3573 Nw 18Th Ave, Okeechobee, FL, 34972",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821439,1,"BARNES, WESLEY PAUL",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DANIELS & SON INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Okeechobee,Okeechobee,34974,"314 Sw 2Nd St, Okeechobee, FL, 34974",,,,,,RF,Registered Plumbing Contractor,RF0042135,1,"DANIELS, LEONARD E JR",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
ADAMS AND SON PLUMBING SERVICE,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32817,"9786 Lake Georgia Drive, Orlando, FL, 32817",,,,,,CFC,Certified Plumbing Contractor,CFC057533; CFC1429435,2,"ADAMS, CHANDLER RHEA; ADAMS, MARSHALL GOODE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BENNETT AND SONS AIR CONDITIONING, LLC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Apopka,Orange,32712,"6412 Lake Lerla Drive, Apopka, FL, 32712",,,,,,CAC,Certified Air Conditioning Contractor,CAC051508,1,"BENNETT, HARRY WALTER JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DAVIS BROTHERS PLUMBING L.L.C.,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32804,"207 W  Orlando  Street, Orlando, FL, 32804",,,,,,CFC,Certified Plumbing Contractor,CFC1433833; CFC1433848,2,"DAVIS, ZACK AUSTIN; DAVIS, ZANE T",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
DICK BRINK & SON LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32804,"1347 Cumbie St, Orlando, FL, 32804",,,,,,RF,Registered Plumbing Contractor,RF0040012,1,"BRINK, RICHARD O",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
FATHER AND SON AIR CONDITIONING AND DUCT INC.,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32805,"2407 Sea Breeze Court, Orlando, FL, 32805",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823678,1,"VENTRESCA, JON LUKE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"MATHIS & SONS AIR AND HEATING, LLC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orlando,Orange,32859,"Po Box 593226, Orlando, FL, 32859",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818734,1,"MATHIS, STEVEN T",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
RAYA & SONS LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Apopka,Orange,32712,"1609 Valeview Ct, Apopka, FL, 32712",,,,,,CAC,Certified Air Conditioning Contractor,CAC1824258,1,"RAYA, ALBERTO JUAN",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
BAEZ & SON AIR CONDITION & HEATING LLC,HVAC / Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Saint Cloud,Osceola,34772,"212 Pink Ibis Bend, Saint Cloud, FL, 34772",,,,,,"CAC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor,CAC1823925; CMC1251747,2,"BAEZ RAMOS, MELVIN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
DAVE & SONS HVAC SERVICES LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Kissimmee,Osceola,34746,"2660 Star Grass Circle, Kissimmee, FL, 34746",,,,,,CAC,Certified Air Conditioning Contractor,CAC1823648,1,"SAMLALL, KISHAN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"GIBSON & SONS, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Celebration,Osceola,34747,"1400 Celebration Ave. Unit 103, Celebration, FL, 34747",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819424,1,"GIBSON, JOHN MACLEAN SR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ALFRED A BRIAND JR & SONS CONTRACTORS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Deland,Out of State,32724,"1705 Magnolia Avenue, Deland, FL, 32724",,,,,,CFC,Certified Plumbing Contractor,CFC1426234,1,"BRIAND, ALFRED ARTHUR JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
B-MAC AND SON PLUMBING LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Ormond Beach,Out of State,32174,"110 Greenbriar Ave, Ormond Beach, FL, 32174",,,,,,CFC,Certified Plumbing Contractor,CFC1428115,1,"PRATER, JASON ROY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BRINSON & SONS HEATING & AIR, INC.",Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Rocky Point,Out of State,28457,"206 Scott Rd, Rocky Point, NC, 28457",,,,,,CMC,Certified Mechanical Contractor,CMC1251361,1,"BRINSON, GREGORY SCOTT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BROTHERS HVAC INCORPORATED,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Beavercreek,Out of State,45432,"3050 Stardus STARDUST DRIVE, Beavercreek, OH, 45432",,,,,,CAC,Certified Air Conditioning Contractor,CAC1821633,1,"THOMAS, SCOTT ALLEN",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
CLARENCE E LUTZ & SONS,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,New Smyrna Bc,Out of State,32168,"830 Canal Street, New Smyrna Bc, FL, 32168",,,,,,RF,Registered Plumbing Contractor,RF0038702,1,"LUTZ, TERRY P",08/31/2027,,FL DBPR Construction License Extract (Current + Active)
CROWE & SONS INC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Tionesta,Out of State,16353,"181 mascaro MASCARO LN, Tionesta, PA, 16353",,,,,,CAC,Certified Air Conditioning Contractor,CAC057685,1,"CROWE, MICHAEL LUCAS",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
FATHER AND SON PLUMBING,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Seaford,Out of State,11783,"3971 Darby Lane, Seaford, NY, 11783",,,,,,CFC,Certified Plumbing Contractor,CFC1433358,1,"PASTENA, LORENZO",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"HUGHES BROTHERS PLUMBING COMPANY, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Byhalia,Out of State,38611,"99 Hughes Dr, Byhalia, MS, 38611",,,,,,CFC,Certified Plumbing Contractor,CFC1430072,1,"WALDROP, LARRY ROLAND JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
LATOW BROTHERS PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Orange City,Out of State,32763,"180 West Blue Springs Ave, Orange City, FL, 32763",,,,,,CFC,Certified Plumbing Contractor,CFC057023; CFC057024,2,"LATOW, DARRIN R; LATOW, DENNIS GEORGE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
R L VOIGHT & SON LLC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Kensington,Out of State,20895,"3923 Plyers Mill Road, Kensington, MD, 20895",,,,,,CFC,Certified Plumbing Contractor,CFC1428155,1,"SEYMOUR, JOHN LESTER",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"RAY AND SON HEATING AND AIR CONDITIONING, INC.",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hazlehurst,Out of State,31539,"221 Kirkland Still Rd, Hazlehurst, GA, 31539",,,,,,"CFC, CMC",Certified Mechanical Contractor; Certified Plumbing Contractor,CFC1427094; CFC1432665; CMC1249672,3,"DEAN, DARRYL E; RAY, SETH A; STONE, MICHAEL LAMAR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"REYNALDS BROTHERS, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Carrollton,Out of State,30117,"555   Columbia Dr, Carrollton, GA, 30117",,,,,,CFC,Certified Plumbing Contractor,CFC1430898,1,"REYNALDS, JOSHUA CALEB",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
S D CHURCH & SONS INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Santa Rosa Beach,Out of State,32459,"166 F  Crossing Lane, Santa Rosa Beach, FL, 32459",,,,,,CFC,Certified Plumbing Contractor,CFC1425643,1,"CHURCH, STEVEN DWIGHT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SHAMBAUGH & SON LP,Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Fort Wayne,Out of State,46825,"7614 Opportunity Drive, Fort Wayne, IN, 46825",,,,,,CMC,Certified Mechanical Contractor,CMC1249890,1,"MEYERS, PAUL RICHARD JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"SHAPIRO & SONS, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lillian,Out of State,36549,"8915 Scotts Lane, Lillian, AL, 36549",,,,,,CFC,Certified Plumbing Contractor,CFC1432334,1,"SHAPIRO, KEITH ANTHONY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"SWIFT BROTHERS PLUMBING, HEATING & AIR LLC",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Raleigh,Out of State,27675,"Po Box 90788, Raleigh, NC, 27675",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC053238; CAC1816851; CAC1824075; CFC1430933; CFC1433007,5,"CONVERSE, JAYSON PAUL; DAS, SUBAL; JERECZEK, DAVID ARTHUR; PRESSON, ALLEN NEWTON",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"ZEFI & SONS MECHANICAL, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Hawthorne,Out of State,10532,"379 Fort Washington Ave, Hawthorne, NY, 10532",,,,,,CFC,Certified Plumbing Contractor,CFC1431662,1,"ZEFI, JOHN LUKE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"A & S & SONS, LLC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,West Palm Beach,Palm Beach,33411,"13705 46 Ct  N, West Palm Beach, FL, 33411",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818939,1,"EILAND, MICHAEL ALBERT",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"AC BROTHERS.COM, INC",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,West Palm Beach,Palm Beach,33411,"12435 Persimmon Blvd, West Palm Beach, FL, 33411",,,,,,CAC,Certified Air Conditioning Contractor,CAC1819835,1,"GALVAN GONZALEZ, RICARDO",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"AGRUSA & SONS CONTRACTING, INC.",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,North Palm Beach,Palm Beach,33408,"1116 Marine Way West Unit # C-4R, North Palm Beach, FL, 33408",,,,,,CFC,Certified Plumbing Contractor,CFC1430107; CFC1433478,2,"AGRUSA, ANTHONY F; AGRUSA, LOUIS SALVATORE",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
ALTMAN BROTHERS LLC,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Palm Beach Gardens,Palm Beach,33403,"8625 Burma Road, Palm Beach Gardens, FL, 33403",,,,,,CAC,Certified Air Conditioning Contractor,CAC033567,1,"ALTMAN, BRIAN K",08/31/2026,,FL DBPR Construction License Extract (Current + Active)
"ARCHER AND SON, LLC",Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Royal Palm Beach,Palm Beach,33411-4958,"100 Peppertree Crescent, Royal Palm Beach, FL, 33411-4958",,,,,,CFC,Certified Plumbing Contractor,CFC1431076,1,"FUENTES, KEVIN ANTHONY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"ARNOLD BROTHERS, INC.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Lake Worth,Palm Beach,33467,"6867 Lake Island Drive, Lake Worth, FL, 33467",,,,,,CAC,Certified Air Conditioning Contractor,CAC1818520,1,"ARNOLD, EDWARD",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"BRUNET BROTHERS CONSTRUCTION, CORP",Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,West Palm Beach,Palm Beach,33415,"5938 Purdy Lane, West Palm Beach, FL, 33415",,,,,,"CAC, CFC",Certified Air Conditioning Contractor; Certified Plumbing Contractor,CAC1825088; CFC1430197,2,"BRUNET, CARLOS YENYIS",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
"CALLAWAY & SONS AIR CONDITIONING, INC. DBA SHERIDAN AIR COND.",HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Boca Raton,Palm Beach,33432,"1199 Nw 6 Ave, Boca Raton, FL, 33432",,,,,,CAC,Certified Air Conditioning Contractor,CAC039656,1,"DISTLER, WILLIAM HENRY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
CATOE & SON PLUMBING INC,Plumbing,Family-Owned,Pattern match,Name/marketing indicates family ownership,Riviera Beach,Palm Beach,33407,"7261 Haverhill Business Parkway, Riviera Beach, FL, 33407",,,,,,CFC,Certified Plumbing Contractor,CFC057874,1,"CATOE, WARREN RAY",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
SANDEEN & SONS MECHANICAL INC,Mechanical,Family-Owned,Pattern match,Name/marketing indicates family ownership,Loxahatchee,Palm Beach,33470,"17929 Orange Blvd, Loxahatchee, FL, 33470",,,,,,CMC,Certified Mechanical Contractor,CMC056964,1,"SANDEEN, WILLARD IRVIN JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
WRIGHT BROTHERS CONTRACTING SERVICES INC.,Plumbing + HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Palm Beach Gardens,Palm Beach,33418,"8203 Forego Road, Palm Beach Gardens, FL, 33418",,,,,,"CAC, CFC, CMC",Certified Air Conditioning Contractor; Certified Mechanical Contractor; Certified Plumbing Contractor,CAC1815903; CFC1429171; CMC1250440,3,"KYI, ALEX YIN",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
BENJAMIN BROTHERS,HVAC,Family-Owned,Pattern match,Name/marketing indicates family ownership,Port Richey,Pasco,34673,"Po Box 898, Port Richey, FL, 34673",,,,,,CAC,Certified Air Conditioning Contractor,CAC1813403,1,"BENJAMIN, DOUGLAS LAWRENCE JR",08/31/2028,,FL DBPR Construction License Extract (Current + Active)
